MOF ref,CO2 BE kJ/mol,H2O BE kJ/mol,N2 BE kJ/mol,BE(H2O)-BE(CO2)
DOYBEA,-36.85088,-36.34928,-22.14982,0.5016
BOTCEU,-39.26274,-38.78204,-23.70478,0.4807
ABAVIJ,-45.40734,-44.93082,-28.24844,0.47652
GUFBOA,-65.45462,-64.9781,-33.54868,0.47234
CUQRIR,-30.96126,-30.48474,-19.16948,0.47234
NEJSAY,-35.5718,-35.09946,-20.87492,0.47234
KEVCEV,-41.6955,-41.22734,-19.80902,0.46816
HAJMEL,-34.55188,-34.10044,-19.72124,0.45562
ZEDROR,-44.79288,-44.3498,-24.06844,0.44726
HOKMUR,-28.633,-28.1941,-17.37626,0.4389
XEQLEM01,-44.00704,-43.56814,-27.82626,0.4389
WIDZOA,-41.6537,-41.21898,-20.76624,0.4389
REDROI,-36.92612,-36.4914,-20.84984,0.43472
TOTWAC,-41.28168,-40.85532,-18.34602,0.43054
GIMSUS,-41.37782,-40.95564,-23.06524,0.42218
UXUYUI,-34.9866,-34.62294,-21.97426,0.36784
ESUTET01,-32.0815,-31.71784,-18.36274,0.36366
YOVFUM,-36.80072,-36.46214,-23.23662,0.33858
KASLUO,-37.9962,-37.66598,-20.57814,0.33022
NASCIV,-34.22584,-33.95832,-22.68486,0.26752
EVOTOZ,-49.03976,-48.78896,-25.28064,0.2508
DAXJET01,-39.71,-39.50936,-18.10358,0.20064
OBEDEE,-32.92586,-32.74194,-16.35216,0.1881
SUJREV,-39.29618,-39.11226,-22.29612,0.18392
XAHROQ,-31.8725,-31.71366,-18.07014,0.15884
CUMJEB,-32.31558,-32.1651,-17.81934,0.15048
INIQON,-35.69302,-35.55508,-22.78936,0.13794
YOVXEO,-33.56122,-33.42328,-18.59682,0.13376
VELVEO,-59.6068,-59.48558,-41.5492,0.12122
IXISOX,-33.74514,-33.64482,-20.6074,0.10032
ZAXWEC,-49.43686,-49.33654,-28.424,0.10032
UHAXUW,-31.82652,-31.75546,-18.8309,0.07106
MAFMOY,-33.06798,-33.0011,-13.67278,0.07106
SARBOE,-37.32322,-37.26052,-24.4321,0.0627
ATIBIO,-33.7744,-33.73678,-20.7955,0.0418
TUJGIQ,-36.78818,-36.75056,-21.20932,0.03762
LUDVAH,-34.93226,-34.89882,-20.2312,0.02926
ZELREP,-38.89072,-38.874,-22.92312,0.01672
HOZDOR,-61.64664,-61.62992,-50.13074,0.01672
RIGWIP,-33.17248,-33.16412,-17.77336,0.00836
