MOF ref,CO2 BE kJ/mol,H2O BE kJ/mol,N2 BE kJ/mol,BE(H2O)-BE(CO2)
WEMDUP,-41.07686,-62.16914,-21.05466,-21.09228
IYUROK,-32.72104,-53.84676,-18.6219,-21.12572
LEZLAF,-40.8177,-61.9476,-19.92606,-21.1299
FUSGOR,-40.22414,-61.3624,-21.53954,-21.13826
EMAMUC,-35.52164,-56.6599,-18.56756,-21.13826
UBIPAY,-33.8371,-55.00044,-20.10162,-21.16334
HICVUM,-35.96472,-57.13224,-19.36176,-21.16752
TAFBIN,-40.72574,-61.89326,-21.93246,-21.1717
MUFJAZ,-59.5232,-80.70326,-28.72078,-21.18006
GIYTEO,-32.06478,-53.25738,-19.76304,-21.1926
FAGXIX,-46.90378,-68.10056,-25.15106,-21.19678
UBACOR,-36.14028,-57.4123,-22.154,-21.27202
UMELUU,-31.81816,-53.1278,-12.23904,-21.31382
VEMDAT,-41.47396,-62.78778,-23.07778,-21.31382
YARSIV,-41.18554,-62.52026,-26.57644,-21.33054
FEXHOG01,-23.59192,-44.92664,-5.33368,-21.33472
DOQHUN,-49.59152,-70.9764,-25.13016,-21.38488
MOZFIR,-39.73508,-61.14086,-21.2971,-21.40578
QUVFET,-56.6808,-78.11166,-26.03304,-21.43086
YIVTII,-33.1892,-54.64514,-18.12448,-21.45594
RITGIM,-41.51576,-62.99678,-20.06818,-21.48102
CUCTAX,-38.0589,-59.565,-22.32538,-21.50192
TAGBUZ,-36.5332,-58.0393,-24.11442,-21.5061
HOJHUL,-41.77074,-63.3061,-22.66814,-21.53536
LIXWAR01,-44.14916,-65.74304,-18.3502,-21.59388
WIHCUM,-32.69178,-54.30238,-17.06694,-21.6106
OYOSAX,-42.6778,-64.31348,-19.77976,-21.63568
LAGCUU,-35.91874,-57.57114,-21.55626,-21.64822
QUGNOV,-39.99424,-61.65082,-21.33472,-21.65658
HUNCUQ,-52.14968,-73.80626,-26.59316,-21.65658
LIHRIE,-27.15746,-48.83494,-19.228,-21.67748
NAMZIL,-34.02102,-55.76538,-18.17464,-21.74436
KEJHIQ,-40.96818,-62.71254,-22.59708,-21.74436
QUMJEP,-54.72456,-76.48146,-32.90078,-21.7569
WERKUZ,-21.7151,-43.48454,-15.8213,-21.76944
LUWYUY,-40.06112,-61.84728,-22.18744,-21.78198
JEJKEP,-32.67506,-54.4654,-18.98556,-21.79034
CUGVUX,-39.70164,-61.49198,-18.5801,-21.79452
MIXKUB,-39.67656,-61.47108,-25.30154,-21.79452
FATLUJ,-34.51008,-56.32132,-19.17366,-21.81124
RUBHOM,-31.96864,-53.79242,-22.50094,-21.82796
IYOQAQ,-40.16144,-62.00194,-23.2199,-21.8405
XUKHUI,-47.34268,-69.20826,-27.03624,-21.86558
HEBJAB,-33.92488,-55.79464,-19.60838,-21.86976
OQIQOW,-45.4575,-67.3398,-19.72542,-21.8823
OCILEU,-40.50002,-62.39068,-22.72666,-21.89066
AHEBAS,-37.81228,-59.7531,-21.0672,-21.94082
LULWUL,-44.50028,-66.44528,-24.59512,-21.94082
HEZSAG,-44.54208,-66.50798,-21.20932,-21.9659
YOZKOP,-34.89882,-56.87308,-26.86068,-21.97426
COLPEA,-48.20794,-70.18638,-23.14466,-21.97426
NIRNAD,-50.91658,-72.89502,-24.94624,-21.97844
MAWVEN,-26.48866,-48.47546,-15.29044,-21.9868
MIHMAS,-41.69132,-63.7032,-24.85428,-22.01188
VOBGEA,-40.2116,-62.27364,-21.37234,-22.06622
LAGRIW,-52.58858,-74.66316,-32.09822,-22.0704
XAWZOM,-54.70784,-76.78242,-25.97034,-22.07458
NEKBEL,-31.141,-53.26992,-16.5319,-22.1331
ASALIP,-28.1732,-50.31048,-22.30448,-22.14146
OPOCEC,-41.10194,-63.2643,-22.68486,-22.15818
MIXPIU,-43.99032,-66.15686,-25.76552,-22.16654
FIPWOS,-48.279,-70.4748,-32.2905,-22.1958
NOQPAM,-74.90142,-97.11394,-33.10978,-22.21252
UGOFED,-45.562,-67.7787,-19.51642,-22.21252
BUKMUQ,-30.85676,-53.07346,-14.06152,-22.2167
AVUBUP,-48.52562,-70.75068,-26.04976,-22.22088
QIQTAN,-35.88948,-58.11454,-20.98778,-22.22506
BUVVIZ,-39.1875,-61.42092,-18.52576,-22.23342
DAHWAM,-41.79582,-64.07104,-23.5752,-22.27104
FUNGAY,-42.69452,-65.01154,-21.0045,-22.31702
GUXQAS,-4.9742,-27.34556,13.25478,-22.36718
ACOGAB,-42.73632,-65.10768,-21.61896,-22.37554
LACJOR,-41.5074,-63.88712,-23.85944,-22.37972
NIRMUW,-49.98444,-72.36416,-26.41342,-22.3839
YUPSIM,-33.98758,-56.40074,-15.7586,-22.41316
KIFXOO,-45.17744,-67.59478,-22.26686,-22.41734
RUBGUS,-38.52706,-60.96948,-21.58552,-22.44242
WASNOU,-48.4671,-70.94296,-24.06426,-22.47168
NOQKOV,-34.36796,-56.848,-20.19776,-22.48004
HIWKII,-41.03506,-63.54854,-18.42962,-22.5093
OHAKEO,-34.47664,-57.00266,-18.36274,-22.52602
YEGTEK,-60.28396,-82.81834,-29.9079,-22.53438
EMOSOP,-49.4494,-72.0005,-24.00574,-22.5511
PEVZAT,-50.33138,-72.8992,-20.36496,-22.56782
OYIVOI,-37.8708,-60.48042,-20.8582,-22.60962
ZIZTEJ,-56.27116,-78.8975,-20.77878,-22.62216
EMIYEF,-46.79092,-69.41726,-32.97602,-22.62634
NAHFIO,-52.83102,-75.45318,-23.9932,-22.62634
VAJQOP,-34.36796,-57.01102,-18.47142,-22.64306
FAPYEA,41.92958,19.21546,69.23334,-22.71412
RAZGOQ,-35.2583,-58.02258,-19.61674,-22.7601
XUGSID,-44.17006,-66.9427,-27.4417,-22.77264
BAXLOD,-41.81672,-64.62698,-20.3984,-22.81026
DEYJOI,-43.48872,-66.30316,-21.54372,-22.81444
QIFTUW,-43.7855,-66.59994,-20.46528,-22.81444
HEFVAR,-40.9849,-63.79934,-20.69936,-22.81862
QUQQOJ,-36.13192,-58.9589,-20.95852,-22.82698
COMZAH,-41.51994,-64.3511,-22.60962,-22.83116
XOKHAH,-47.99476,-70.8928,-24.83338,-22.89804
TULNIZ,-48.65102,-71.55742,-27.73848,-22.9064
WONBAD,-36.0316,-58.938,-19.28234,-22.9064
RANNOM,-44.04048,-66.97196,-26.92756,-22.93148
EBUREA,-43.3048,-66.24464,-20.24374,-22.93984
LAGNEO,-80.16822,-103.19166,-66.70026,-23.01926
XISVUR,-41.96302,-65.00736,-21.59388,-23.04434
MIMKIE,-47.15458,-70.24072,-23.07778,-23.08614
LISZOE,-51.3095,-74.41236,-27.0237,-23.09868
VOCPEK,-41.22316,-64.35946,-21.9868,-23.1363
PEQWAK,-38.55632,-61.70098,-18.94794,-23.14466
LIZSIY,-36.50394,-59.68622,-19.69198,-23.1781
NAWKII,-56.12068,-79.31132,-21.25112,-23.18646
FODHUD,-33.61974,-56.82292,-19.82156,-23.20318
ZETQAS,-39.68074,-62.91736,-27.59218,-23.23662
COKROL,-37.90424,-61.14086,-22.8855,-23.23662
VIPYOK,-42.19292,-65.4379,-21.66912,-23.24916
ZEKROY,-47.14622,-70.39538,-20.54888,-23.24916
IQIJIC,-39.23348,-62.49518,-21.32218,-23.2617
YOTRUW,-53.81332,-77.08756,-25.63594,-23.27424
TIQHIL,-42.99548,-66.26972,-26.8565,-23.27424
ZEFVEN,-44.83886,-68.1131,-22.96492,-23.27424
DEYXIQ,-51.06706,-74.34966,-22.41316,-23.2826
WOTSEF,-31.83488,-55.1342,-17.4306,-23.29932
JOFLUN,-38.38912,-61.74278,-20.39004,-23.35366
UKUTEB,-43.04564,-66.3993,-22.9482,-23.35366
XULDOZ,-42.29742,-65.65526,-20.70772,-23.36202
NUSSEA,-57.01938,-80.37722,-25.21794,-23.36202
ACOGEF,-42.36848,-65.73886,-22.29194,-23.37038
KOMHAW,-41.79164,-65.2289,-25.50218,-23.43308
EBEGEZ,-57.40394,-80.8621,-29.22656,-23.46234
ADODUU,-37.7454,-61.237,-20.05564,-23.48742
SIVKAK,-29.14714,-52.6471,-17.7023,-23.49996
VAZLEP,-52.84774,-76.37696,-19.8968,-23.52922
YEQRER,-51.73168,-75.28598,-23.48742,-23.5543
IYESIQ,-39.04538,-62.6164,-21.7151,-23.57102
ZUXPOZ,-58.1647,-81.7608,-28.58702,-23.5961
LULJAE,-28.79184,-52.42138,-22.5093,-23.62954
ROTQIC,-42.91606,-66.5665,-25.7279,-23.65044
HUSGAE,-34.00848,-57.66728,-13.48886,-23.6588
ZOZZEV,-41.85852,-65.54658,-20.51544,-23.68388
JORSEQ,-39.8145,-63.53182,-24.19384,-23.71732
GOLYUD,-45.771,-69.4925,-20.78296,-23.7215
OSOMIT,-48.99378,-72.72364,-24.06426,-23.72986
PUNDUY,-44.99352,-68.74846,-25.02566,-23.75494
WONXIH,-32.5831,-56.3464,-21.9659,-23.7633
YOFGOR,-45.90894,-69.71404,-29.59022,-23.8051
BADHUM01,-46.53594,-70.35358,-32.88824,-23.82182
RIYWED,-46.03016,-69.88542,-24.18548,-23.85526
HEKTUO01,-49.76708,-73.62652,-26.72692,-23.85526
HEFDIH,-30.18378,-54.05994,-19.26562,-23.87616
IXUHUE,-45.95492,-69.86452,-28.97576,-23.9096
LEDJOU,-49.62078,-73.55128,-22.14982,-23.93468
OJAKUG,-51.74422,-75.6789,-23.12376,-23.93468
YERJEL,-38.96596,-62.93826,-22.8437,-23.9723
LEPLAV,-43.48036,-67.46102,-19.88426,-23.98066
ECASAD,-41.89614,-65.88516,-23.85944,-23.98902
PUWCUF,-41.48232,-65.49224,-20.85402,-24.00992
SEHMIC,-40.2952,-64.33438,-22.25014,-24.04336
ECODIK,-32.86734,-56.91488,-19.23218,-24.04754
TONLOZ,-50.0346,-74.08214,-24.26908,-24.04754
KINJUO,-43.02892,-67.08482,-22.28776,-24.0559
VOPHUF,-48.44202,-72.49792,-24.90026,-24.0559
RUGNUE,-59.36436,-83.42862,-22.45496,-24.06426
ZEFVOX,-44.91828,-69.0118,-22.80608,-24.08934
AHOKIR01,-55.81972,-79.91324,-29.75742,-24.0977
PAPPIH,-37.77466,-61.96432,-26.21278,-24.19384
OVIDON,-48.12434,-72.31818,-21.82378,-24.19384
UMAROR,-48.68864,-72.89084,-27.44588,-24.19802
FIGXAW,-39.52608,-63.74082,-22.76846,-24.21474
VEFLUP,-47.17548,-71.4153,-37.85408,-24.244
HOHJAR,-36.6377,-60.89842,-23.85526,-24.26072
CUWXOJ,-41.62862,-65.88934,-21.48102,-24.26072
PUGFOO,-52.33778,-76.60268,-25.92436,-24.26908
MIRLUU,-49.31146,-73.60144,-22.40062,-24.28998
ZEJCUO,-57.48336,-81.77752,-26.961,-24.29416
MEFYUT,-34.73998,-59.03832,-18.93122,-24.29834
VAJHIA,-51.02108,-75.35286,-22.33374,-24.33178
MAFZOK,-100.64186,-124.982,-51.66898,-24.34014
BUBWOM,-45.11056,-69.45488,-23.87616,-24.34432
GOLQII,-29.64038,-53.98888,-21.47684,-24.3485
UXUPEK,-66.43274,-90.80632,-27.13656,-24.37358
PETVER,-49.08992,-73.47186,-21.37234,-24.38194
GUXPUL,-12.33518,-36.72548,6.27836,-24.38612
ECUCUB,-51.27606,-75.69562,-26.18352,-24.41956
AMIWID,-50.1391,-74.56702,-27.02788,-24.42374
DEYJIC,-44.86394,-69.30858,-21.62314,-24.44464
LENRUS,-22.17908,-46.64462,2.60832,-24.46972
LIVREP,-54.967,-79.43672,-27.11148,-24.46972
ETICIV,-41.34438,-65.83082,-21.93246,-24.48644
QITDII,-44.69674,-69.19154,-20.28972,-24.4948
IBUYAH,-38.28462,-62.8254,-20.24792,-24.54078
KAVTUY,-37.37338,-61.93088,-21.60642,-24.5575
XUNTAD,-50.23942,-74.83454,-25.02984,-24.59094
ETUWOG,-44.19932,-68.79444,-23.87198,-24.59512
SUTJIC,-37.04734,-61.67172,-18.24152,-24.6202
YIVNIC,-53.77152,-78.40008,-28.09378,-24.62856
IVARUT,-40.03186,-64.68968,-24.51988,-24.65782
GUJGAU,-45.72084,-70.40374,-25.51472,-24.6829
EGUNAX,-53.57924,-78.2705,-27.50022,-24.69126
LAZJAZ,-45.59544,-70.2867,-22.52602,-24.69126
IPIJEY,-37.94604,-62.67492,-18.9981,-24.72888
PELXIP,-48.8433,-73.59726,-25.34752,-24.75814
JEMNAR,-33.68244,-58.44058,-20.70772,-24.76232
HORJOP,31.11174,6.3327,45.82534,-24.77904
IYUHEQ,-45.63306,-70.42046,-34.88628,-24.7874
FUHMOM,-50.64488,-75.44482,-24.88354,-24.79994
QUFKIN,-45.36136,-70.1822,-24.03918,-24.82084
UMEMAB,-15.99686,-40.82188,-0.83182,-24.8292
CITXUZ,-32.39918,-57.22838,-19.56658,-24.8292
YEZKIZ,-56.14994,-80.98332,-22.49676,-24.83338
XUKLAS,-42.65272,-67.49864,-21.88648,-24.84592
KIYBIF,-43.51798,-68.43078,-21.84886,-24.9128
KAYCIY,-40.94728,-65.86426,-23.41218,-24.9128
HIWKEE,-47.68544,-72.61496,-21.2762,-24.92534
XAVQIU,-44.37488,-69.31276,-20.34406,-24.9337
KOTYEZ02,-38.94506,-63.9122,-21.45176,-24.97132
HIDBIH,-42.41028,-67.43176,-22.19998,-25.02148
TIQHAD,-45.1858,-70.224,-27.22852,-25.03402
NADZEZ,-52.24164,-77.28402,-31.88922,-25.04238
FUMHEC,-49.7211,-74.77602,-22.22506,-25.05492
KOBPIB,-60.04152,-85.11734,-24.67872,-25.07582
BACGAQ,-38.94088,-64.0167,-26.32146,-25.07582
MAZJAY,-70.40792,-95.48374,-38.22192,-25.07582
PUWVAG,-42.52314,-67.67002,-23.60864,-25.14688
BIFKEI,-31.41688,-56.58048,-18.15374,-25.1636
CUMDIY,-37.55312,-62.74598,-24.16876,-25.19286
ZEFVIR,-45.07712,-70.32014,-22.66814,-25.24302
FUYYAA,-76.38532,-101.64506,-54.21042,-25.26392
DAWBIO,-32.50786,-57.77178,-19.42446,-25.26392
FELVOJ,-39.60968,-64.90286,-16.38978,-25.29318
DOYLIM,-27.42498,-52.75996,-14.50878,-25.33498
ZURLAB,-39.94826,-65.29996,-21.27202,-25.3517
AWAJIT,-37.73286,-63.10964,-23.80928,-25.37678
OSUPOJ,-40.63378,-66.01892,-22.19998,-25.38514
CUGFUH,-47.25908,-72.6484,-22.14146,-25.38932
GIWNUV,-40.9431,-66.35332,-22.60126,-25.41022
KESGAS,-42.56494,-67.98352,-21.59806,-25.41858
PEJRED,-48.28736,-73.7352,-29.12206,-25.45202
SEJBAL,-43.90672,-69.36292,-28.89216,-25.4562
XADFAL,-43.88164,-69.35038,-26.39252,-25.46874
LEDPIU,-41.16882,-66.69608,-23.64208,-25.53144
QUPHUF,-40.37462,-65.92278,-26.47612,-25.55234
JUSKIT,-36.58754,-62.15242,-17.56436,-25.56488
PARVUB,-45.36136,-70.9346,-23.32858,-25.57742
WUPZUE,-53.80914,-79.39492,-32.23198,-25.58578
NOSTUM,-47.76068,-73.36736,-24.87936,-25.6025
WASNIO,-44.46684,-70.10696,-23.00672,-25.64012
BALMUW01,-47.78994,-73.47604,-32.395,-25.6861
SISFEH,-41.54084,-67.26874,-19.87172,-25.7279
EXOZEX,-45.03532,-70.77158,-21.5688,-25.73626
QOMTET,-49.0732,-74.81364,-26.13336,-25.74044
AHOKOX,-52.70562,-78.46696,-22.38808,-25.76134
DUFXOT,-71.7288,-97.49014,-34.44738,-25.76552
SOSFAJ,-45.50348,-71.27318,-24.65782,-25.7697
NADKAG,-44.50028,-70.27834,-25.36424,-25.77806
HIXDOH01,-46.44398,-72.22622,-28.90888,-25.78224
KOBPUN,-64.53502,-90.3298,-25.4144,-25.7906
GAWJEV,-50.79536,-76.6194,-26.69348,-25.82404
HUCLIB,-35.29592,-61.12414,-21.62314,-25.82822
PAMGIV,-42.08006,-67.925,-21.91992,-25.84494
NOCKOG,-44.00704,-69.85198,-21.20096,-25.84494
CUZBUW,-49.89666,-75.75832,-30.35934,-25.86166
LABGAY,-40.36208,-66.24882,-23.06106,-25.88674
OCAQOY,-53.45384,-79.34476,-28.25262,-25.88674
TIVFEK,-40.26594,-66.16522,-11.4532,-25.89928
WEYMIY,-41.07686,-66.98868,-25.7279,-25.90764
RENWEM,-37.5991,-63.52346,-15.28208,-25.92436
FURSES,-43.31316,-69.26678,-24.453,-25.95362
ZETPUL,-41.57846,-67.57806,-27.379,-25.9996
AWIBAL,-60.70196,-86.70156,-56.12486,-25.9996
ZIHTEP,-44.20768,-70.23236,-24.00574,-26.02468
OSAVUA,-57.19076,-83.21544,-43.1585,-26.02468
QAVDEW,-43.48872,-69.55938,-21.62314,-26.07484
KEXPOU,-41.58682,-67.67002,-23.2826,-26.08738
GUJGEY,-48.95616,-75.10624,-27.89314,-26.15008
QEKLUP,-59.34346,-85.5228,-35.5718,-26.18352
FASHUD,-55.594,-81.80678,-18.23316,-26.21696
FELWAW,-38.52288,-64.79836,-17.556,-26.27548
JUWSUR,-35.83096,-62.10644,-19.65854,-26.27548
NAHFOU,-41.26496,-67.54044,-27.3372,-26.27548
HABRUZ,-36.89686,-63.18906,-21.85722,-26.2922
OKIMAY,-49.77544,-76.06764,-28.05616,-26.2922
QISRIV,-43.75624,-70.0777,-19.09424,-26.32146
HEBTEP,-48.26646,-74.5921,-23.77584,-26.32564
GEFFUT,-42.08424,-68.41406,-23.02762,-26.32982
ULOGIL,-48.35006,-74.7384,-21.03794,-26.38834
WECFAN,-31.52556,-57.92226,-18.28332,-26.3967
NOLRIR,-51.50178,-77.91102,-27.20762,-26.40924
CUWXUP,-43.29644,-69.73076,-23.0318,-26.43432
WEGGAS,-38.038,-64.49322,-26.50538,-26.4594
BUCVAY,-45.36972,-71.87092,-22.85206,-26.49702
SEQSIS,-42.74468,-69.2626,-26.44268,-26.51792
FIYDOH,-53.34516,-79.86726,-27.70504,-26.5221
UFILUR,-37.70778,-64.23406,-17.18816,-26.52628
KIYQOA,-38.8949,-65.46716,-22.0077,-26.57644
DEXZIR,-46.1263,-72.70692,-19.42028,-26.58062
YOPNUO,-57.4332,-84.05144,-20.2521,-26.61824
JUSHEM,-42.75304,-69.388,-25.50218,-26.63078
OVIZOJ,-49.6166,-76.25156,-21.1299,-26.63496
SALLAT,-48.7179,-75.36958,-52.21656,-26.65168
EKARUE,-41.53666,-68.22596,-21.45594,-26.6893
TUBLIN,-35.75154,-62.44502,-20.91672,-26.69766
EHUCOA,-39.68074,-66.4202,-17.8695,-26.73946
MAPHAP,-42.45208,-69.20408,-25.00476,-26.752
MAQZOV,-36.67114,-63.44404,-24.71216,-26.7729
ZIGWUJ,-42.2389,-69.02852,-21.1926,-26.7938
ODELOZ,-48.8851,-75.71234,-22.154,-26.82724
YEZKEV,-53.1069,-79.95922,-22.43824,-26.85232
QIMNIL,-23.199,-50.0555,-16.41068,-26.8565
RENWEM01,-40.15308,-67.05974,-14.80974,-26.90666
EBAVUB,-47.47644,-74.40818,-23.87616,-26.93174
VEYVEC,-57.37886,-84.38584,-25.3308,-27.0028
UFOFIF,-47.05426,-74.08214,-19.2698,-27.0237
MOJJUR,-45.00188,-72.05484,-21.36816,-27.05714
OJIFAP,-38.51452,-65.58002,-21.0672,-27.06968
LESWAI,-44.30382,-71.38604,-24.21056,-27.08222
BUCVEC,-45.39062,-72.49374,-23.08614,-27.09894
LECGEH,-37.33158,-64.4556,-26.97354,-27.12402
QITMUC,-47.5057,-74.64644,-19.4788,-27.14074
EVIMUT,-45.2485,-72.4185,-23.62954,-27.17
ABUWOJ,-44.10736,-71.30244,-21.73182,-27.19508
RUPTED,-30.84422,-58.07274,-17.35954,-27.22434
OCUPOS,-39.3338,-66.57904,-19.4997,-27.24106
ASADAA,-37.54476,-64.78582,-25.50218,-27.24524
DAWCAH,-33.50688,-60.80646,-19.88844,-27.29958
WOPHIU01,-40.15726,-67.47774,-24.96714,-27.32048
QEKLID,-58.84186,-86.16652,-36.31584,-27.32048
ECUCIP,-46.74912,-74.08214,-32.5413,-27.33302
PEVJOQ,-20.79968,-48.1954,-3.37744,-27.39572
SEYFEI,-62.99678,-90.3925,-30.52236,-27.39572
FELWUQ,-40.50838,-67.92082,-16.54444,-27.41662
POKSAL,-54.7789,-82.19552,-20.95016,-27.41662
CUXJAI,-34.28018,-61.6968,-21.31382,-27.41662
XAGPUT,-38.99104,-66.42438,-20.26046,-27.43334
SIFVAG,-40.46658,-67.89992,-18.74312,-27.43334
XULRIH,-39.88556,-67.39832,-24.51152,-27.51276
POMSOB,-60.74376,-88.26488,-45.63724,-27.52112
XINHOT,-46.816,-74.38728,-32.2905,-27.57128
FEWGUL,-46.44398,-74.04452,-22.25014,-27.60472
BIBBUL,-42.53568,-70.16966,-20.77878,-27.63398
EZULAO,-47.30088,-74.93486,-24.64528,-27.63398
UCAXEC,-36.12356,-63.7659,-21.1299,-27.64652
PODXEN,-37.31068,-64.96974,-20.08908,-27.65488
FIGQUJ,-37.68688,-65.36266,-25.03402,-27.67578
NAPZOV,-42.95368,-70.62946,-20.93344,-27.67578
ZIYQAB,-38.85728,-66.5456,-19.39102,-27.68832
KIFKAM,-49.02722,-76.73226,-25.2472,-27.70504
LOJFOF,-49.59988,-77.34254,-25.88256,-27.74266
POHLUV,-86.55944,-114.34808,-28.44072,-27.78446
QEGHEP,-59.24732,-87.05268,-27.18254,-27.80536
OSURAX,-43.83148,-71.63684,-25.78642,-27.80536
TADCAE,-54.41942,-82.2415,-25.67774,-27.82208
TIFBOA,-48.82658,-76.65284,-19.7296,-27.82626
TIGVUC,-42.87008,-70.73396,-21.17588,-27.86388
FUJKUS,-47.12532,-74.9892,-21.18842,-27.86388
DEQFOU,-34.26764,-62.25274,-25.89092,-27.9851
COWRIR,-53.87184,-81.87784,-27.07386,-28.006
PEVYUM,-31.88086,-59.93284,-16.98334,-28.05198
ESEHIV,-54.44032,-82.52156,-22.77264,-28.08124
IVIPEK,-40.51256,-68.6356,-22.76428,-28.12722
RAXDAX,-38.25954,-66.41602,-23.77584,-28.15648
KONFIE,-57.60458,-85.77778,-24.6202,-28.16902
BEXVAD01,-36.06922,-64.26332,-24.4321,-28.1941
KEXKEF,-38.6441,-66.8382,-21.23858,-28.1941
ECOROD,-51.9574,-80.18912,-51.48924,-28.23172
YAZWOM,-31.23714,-59.5232,-23.4916,-28.28606
QUVLAW,-32.58728,-60.89006,-20.88328,-28.30278
TISGUY,-35.98562,-64.29258,-21.12154,-28.31114
YIRHEO,-34.7149,-63.03858,-18.45052,-28.32368
VUQKAU02,-38.58558,-66.93434,-20.94598,-28.34876
AZAVUU,-43.44692,-71.79986,-20.5865,-28.35294
MARKOF,-41.7164,-70.0777,-22.572,-28.3613
TOFLAD,-47.50988,-75.87954,-22.77264,-28.36966
WEFDIW,-35.2165,-63.60706,-23.99738,-28.38638
ZOXTOX,-49.97608,-78.37918,-39.26692,-28.4031
ZEDRAD,-56.66408,-85.11316,-28.1941,-28.4449
YAQZUN,-61.06562,-89.5356,-25.30154,-28.46998
ITIBET,-49.66258,-78.16182,-26.57644,-28.49506
BOHGOU,-41.90868,-70.40374,-17.42224,-28.49506
BAFKUR,-47.9655,-76.4731,-26.95264,-28.5076
DEPXAY,-46.32694,-74.85544,-19.09424,-28.5285
IXEQIL,-60.03316,-88.58674,-28.21918,-28.5494
DOQRUW,-36.70458,-65.2707,-20.18522,-28.56612
VAPFUP,-41.65788,-70.29506,-23.52504,-28.63718
RURQEB,-36.02742,-64.6855,-30.69374,-28.6539
XOHJUA,-37.13094,-65.8141,-21.1926,-28.68316
POKGEC,-53.24484,-81.93218,-22.04114,-28.69152
SIZNIA,-37.90006,-66.60412,-29.74906,-28.70406
QAVYUJ,-75.33196,-104.03602,-32.76284,-28.70406
ECOSIY,-30.45966,-59.1679,-10.02364,-28.70824
VAKBIU,-42.18456,-70.95132,-24.60348,-28.76676
OGIJIY,-96.54964,-125.3164,-57.7258,-28.76676
OQEPEG,-43.5347,-72.32654,-30.33426,-28.79184
TIQGIK,-36.5541,-65.37102,-11.55352,-28.81692
CIJVOH,-34.81522,-63.63632,-17.14636,-28.8211
DAWBUA,-34.23838,-63.06784,-19.95114,-28.82946
IYEQUA,-43.681,-72.53972,-24.67036,-28.85454
BUCVIG,-44.06556,-72.93264,-22.72248,-28.86708
MIKDUH,-68.65232,-97.5194,-26.4176,-28.87126
SURDOA,-39.55952,-68.43914,-24.51152,-28.87544
VIXZUZ,-56.19174,-85.08808,-31.82652,-28.90052
RESSAK,-46.35202,-75.3027,-26.52628,-28.95068
IRORUE,-37.92932,-66.88418,-19.80484,-28.95486
ACUTOI,-36.70876,-65.67198,-19.89262,-28.96322
POXHIU,-30.3259,-59.3142,-20.33988,-28.99248
NULMAJ,-31.17026,-60.17946,-16.4901,-29.01338
TISWEZ,-40.39552,-69.41726,-27.16164,-29.02174
OLUCAZ,-36.75892,-65.80156,-17.6814,-29.04264
BONNIC,-49.72528,-78.78464,-38.73606,-29.05936
MUTVUT,-39.17078,-68.24686,-28.03944,-29.07608
GEVKID,-46.99992,-76.0969,-26.58062,-29.09698
XAMLUS,-51.40564,-80.5068,-25.9369,-29.10116
VUHJAK,-51.21336,-80.32288,-28.22336,-29.10952
EBAWIQ,-42.13858,-71.25228,-22.8437,-29.1137
EKOPEA,-48.91854,-78.0406,-22.49258,-29.11788
ZARFOQ,-37.62836,-66.75878,-21.97426,-29.12624
NOJBOF,-45.26104,-74.44998,-21.77362,-29.18894
OCUMUX,-40.11964,-69.32948,-21.7151,-29.20984
WAGLEY,-43.66428,-72.8783,-22.75174,-29.21402
ZEKRIS,-52.46318,-81.69392,-29.85356,-29.23074
ZERNAN,-33.29788,-62.5955,-18.63862,-29.29762
GONSUZ,-32.13166,-61.42928,-15.50362,-29.3018
BUSGOM,-33.43164,-62.75016,-23.56266,-29.3227
UWOWAF,-39.93572,-69.25842,-21.6942,-29.3227
NOCLOH02,-55.34738,-84.73278,-34.20494,-29.3854
XINZEB,-48.00312,-77.42196,-22.93148,-29.41884
KACZUM,-32.17764,-61.59648,-19.57076,-29.42302
IFUPAC,-35.1747,-64.62698,-18.25824,-29.45228
FANQER,-36.55828,-66.03146,-19.54568,-29.47318
TIQHEH,-42.9077,-72.38924,-26.74364,-29.48154
DAXJET03,-70.642,-100.12354,-29.50662,-29.48572
LUMZEA,-50.92076,-80.41484,-22.781,-29.49408
TOKDON,-48.24556,-77.77308,-25.56488,-29.52752
YEGTAG,-34.00848,-63.54436,-21.93246,-29.53588
LATCEO,-38.84056,-68.41406,-33.68244,-29.56932
TEBCEK,-37.90424,-67.4861,-18.5592,-29.58186
OSAWEL,-48.51308,-78.14092,-41.49068,-29.62784
GIDKOU,-43.97778,-73.6098,-23.58774,-29.63202
DOHYIJ01,-29.81594,-59.47722,-22.3003,-29.66128
SAYKIO,-60.69778,-90.36324,-33.3564,-29.66546
WOWBIV,-45.54528,-75.27344,-22.29612,-29.72398
FEZTIP,-41.28586,-71.11016,-20.84566,-29.82012
GISWEM,-39.58878,-69.42144,-24.7456,-29.83266
TOLGOR,-38.47272,-68.343,-20.6701,-29.87028
XOGXAU,-46.92468,-76.80332,-24.69544,-29.87446
NOHLED,-52.02428,-81.91546,-25.20958,-29.89118
RUSWEJ,-43.054,-72.9619,-14.93932,-29.9079
GURZID01,-47.0668,-76.98306,-22.62634,-29.91208
JETNOL,-58.30264,-88.22308,-22.35882,-29.92044
IYALUR,-55.11748,-85.03792,-28.01018,-29.92462
CUWVEX,-34.6522,-64.57682,-27.51694,-29.9288
IBITUK,-40.14054,-70.0777,-20.9836,-29.93716
FIDMIP,-46.39382,-76.37278,-17.94474,-29.98314
